6.754678,1
17.14244,1
17.91685,1
18.58588,1
19.12437,1
19.656,2
20.26541,2
20.9758,1
21.84853,2
22.0818,1
22.39382,1
23.20064,2
23.6196,2
24.28031,2
24.88597,1
25.85927,1
26.56305,1
27.19011,1
27.80428,1
28.46227,2
29.35808,2
30.1344,2
31.71941,1
32.9421,1
33.72147,1
34.40917,2
35.0711,2
35.84581,1
36.89882,1
37.64552,1
38.6456,1
39.77069,1
41.00722,2
42.22383,2
43.4185,1
44.52984,1
45.8605,2
47.00405,2
48.44285,1
49.34871,1
49.72522,1
50.34077,1
50.94469,2
51.93251,2
52.6922,1
53.2841,1
53.69559,2
54.88539,1
55.74664,1
56.46075,1
57.54827,1
58.47465,1
58.85516,2
60.1197,2
61.44212,2
62.76077,2
64.00907,1
64.97604,1
65.42721,1
66.3042,2
66.72263,2
67.96494,1
68.87774,1
69.25934,1
69.90413,1
70.54414,2
71.24723,2
71.87886,1
